"key","severity","issue","english","translation"
"try_again","INCONSISTENT","same English has 2 different translations","Try again","पुनः प्रयास करें"
"try_again_button","INCONSISTENT","same English has 2 different translations","Try again","फिर कोशिश करें"
"worker","INCONSISTENT","same English has 2 different translations","Worker","वर्कर"
"applications","TOO-SHORT","ratio 0.42 - meaning may be dropped","Applications","आवेदन"
"auto_applications","TOO-SHORT","ratio 0.42 - meaning may be dropped","applications","आवेदन"
"notif_type_notification","TOO-SHORT","ratio 0.42 - meaning may be dropped","Notification","सूचना"
"notification_label","TOO-SHORT","ratio 0.42 - meaning may be dropped","Notification","सूचना"
"onboarding_title_3","TOO-LONG","ratio 2.25 - may clip in UI","Instant Hire","तत्काल भर्ती (Instant Hire)"
"amount","REVIEW-PRIORITY","money or safety wording","Amount","राशि"
"amount_example_hint","REVIEW-PRIORITY","money or safety wording","e.g. 12000","e.g. 12000"
"amount_placeholder","REVIEW-PRIORITY","money or safety wording","10000 or 11000-15000","10000 or 11000-15000"
"amount_rs","REVIEW-PRIORITY","money or safety wording","Amount (Rs.)","राशि (रु.)"
"amount_rupees","REVIEW-PRIORITY","money or safety wording","Amount (₹)","राशि (₹)"
"apply_tip_confirm_details","REVIEW-PRIORITY","money or safety wording","Call the employer and confirm work time, place, and pay before leaving.","निकलने से पहले नियोक्ता को कॉल करके काम का समय, जगह और वेतन पक्का कर लें।"
"apply_tip_no_fee","REVIEW-PRIORITY","money or safety wording","Do not pay any fee to get the job. Report suspicious requests.","नौकरी पाने के लिए कोई शुल्क न दें। संदिग्ध माँगों की शिकायत करें।"
"apply_tip_polite_work","REVIEW-PRIORITY","money or safety wording","Speak politely, do only the agreed work, and ask before extra work.","विनम्रता से बात करें, केवल तय किया गया काम करें, और अतिरिक्त काम से पहले पूछ लें।"
"apply_tip_reach_on_time","REVIEW-PRIORITY","money or safety wording","Reach on time and keep your phone reachable.","समय पर पहुँचें और अपना फ़ोन चालू रखें।"
"benefit_direct_communication","REVIEW-PRIORITY","money or safety wording","💬 Direct communication","💬 सीधी बातचीत"
"benefit_faster_hiring","REVIEW-PRIORITY","money or safety wording","⚡ Faster hiring process","⚡ तेज़ भर्ती प्रक्रिया"
"benefit_phone_number","REVIEW-PRIORITY","money or safety wording","📞 Get phone number instantly","📞 तुरंत फ़ोन नंबर पाएँ"
"job_safety_ai_analysis","REVIEW-PRIORITY","money or safety wording","AI Safety Analysis","AI सुरक्षा विश्लेषण"
"job_safety_caution","REVIEW-PRIORITY","money or safety wording","Proceed with Caution","सावधानी से आगे बढ़ें"
"job_safety_high_risk","REVIEW-PRIORITY","money or safety wording","High Risk Detected","उच्च जोखिम पाया गया"
"job_safety_learn_more","REVIEW-PRIORITY","money or safety wording","Learn more about job safety →","नौकरी सुरक्षा के बारे में और जानें →"
"job_safety_looks_good","REVIEW-PRIORITY","money or safety wording","Looks Good","ठीक लगता है"
"job_safety_risk_score","REVIEW-PRIORITY","money or safety wording","Risk Score","जोखिम स्कोर"
"job_safety_scam_alert","REVIEW-PRIORITY","money or safety wording","Scam Alert!","धोखाधड़ी चेतावनी!"
"job_safety_verified","REVIEW-PRIORITY","money or safety wording","Verified Safe","सत्यापित सुरक्षित"
"pay_and_unlock","REVIEW-PRIORITY","money or safety wording","Pay ₹%1$d & Unlock","₹%1$d दें और अनलॉक करें"
"pay_label","REVIEW-PRIORITY","money or safety wording","Pay","Pay"
"pay_type","REVIEW-PRIORITY","money or safety wording","Pay Type","वेतन का प्रकार"
"pay_where_work","REVIEW-PRIORITY","money or safety wording","Pay & where to work","वेतन और काम की जगह"
"payment_amount_hint","REVIEW-PRIORITY","money or safety wording","e.g., 10000 or 11000-15000","e.g., 10000 or 11000-15000"
"payment_details","REVIEW-PRIORITY","money or safety wording","Payment Details","भुगतान विवरण"
"payment_failed_error","REVIEW-PRIORITY","money or safety wording","Payment failed: %1$s","भुगतान विफल: %1$s"
"payment_protected","REVIEW-PRIORITY","money or safety wording","Payment protected by","भुगतान सुरक्षित है"
"refer_available_balance","REVIEW-PRIORITY","money or safety wording","Available: Rs.%1$d","उपलब्ध: रु.%1$d"
"refer_bonus_amount","REVIEW-PRIORITY","money or safety wording","Rs.%1$d bonus","रु.%1$d बोनस"
"refer_code_clipboard_label","REVIEW-PRIORITY","money or safety wording","Referral Code","रेफरल कोड"
"refer_complete_profile_button","REVIEW-PRIORITY","money or safety wording","Complete Profile","प्रोफ़ाइल पूरी करें"
"refer_complete_profile_title","REVIEW-PRIORITY","money or safety wording","Complete Your Profile","अपनी प्रोफ़ाइल पूरी करें"
"refer_complete_profile_to_withdraw","REVIEW-PRIORITY","money or safety wording","Complete your profile fully before you can withdraw earnings","कमाई निकालने से पहले अपनी प्रोफ़ाइल पूरी करें"
"refer_default_user_name","REVIEW-PRIORITY","money or safety wording","User","उपयोगकर्ता"
"refer_earn","REVIEW-PRIORITY","money or safety wording","Refer & Earn","रेफर करें और कमाएं"
"refer_earn_amount","REVIEW-PRIORITY","money or safety wording","Refer & Earn ₹%1$d","रेफर करें और ₹%1$d कमाएं"
"refer_earn_guest_subtitle","REVIEW-PRIORITY","money or safety wording","Create an account to unlock referral rewards","रेफरल पुरस्कार अनलॉक करने के लिए खाता बनाएं"
"refer_earn_guest_title","REVIEW-PRIORITY","money or safety wording","Refer & Earn after signup","साइन अप के बाद रेफर करें और कमाएं"
"refer_earn_more_to_withdraw","REVIEW-PRIORITY","money or safety wording","Earn ₹%1$s more to unlock withdrawal (min ₹%2$s)","निकासी शुरू करने के लिए ₹%1$s और कमाएँ (न्यूनतम ₹%2$s)"
"refer_employer_complete_profile_desc","REVIEW-PRIORITY","money or safety wording","To generate your personalized referral code and start earning rewards, please complete your company profile first.","अपना निजी रेफरल कोड बनाने और इनाम कमाना शुरू करने के लिए, कृपया पहले अपनी कंपनी प्रोफ़ाइल पूरी करें।"
"refer_employer_share_text","REVIEW-PRIORITY","money or safety wording","Join DutyPe for hiring!\n\nUse my referral code: %1$s\n\nDownload DutyPe: %2$s\n\nFind reliable workers for your business and earn Rs.%3$d bonus!","भर्ती के लिए DutyPe से जुड़ें!\n\nमेरा रेफरल कोड इस्तेमाल करें: %1$s\n\nDutyPe डाउनलोड करें: %2$s\n\nअपने व्यवसाय के लिए भरोसेमंद कर्मचारी पाएँ और रु.%3$d बोनस कमाएँ!"
"refer_employer_step_1","REVIEW-PRIORITY","money or safety wording","Share your referral code with employers or workers","अपना रेफरल कोड नियोक्ताओं या कर्मचारियों के साथ शेयर करें"
"refer_employer_step_4","REVIEW-PRIORITY","money or safety wording","Reach milestones for bonus cash and free job posts","बोनस नकद और मुफ़्त जॉब पोस्ट के लिए पड़ाव पूरे करें"
"refer_error_enter_upi","REVIEW-PRIORITY","money or safety wording","Enter UPI ID","UPI ID दर्ज करें"
"refer_error_insufficient_balance","REVIEW-PRIORITY","money or safety wording","Insufficient balance","अपर्याप्त बैलेंस"
"refer_error_invalid_upi","REVIEW-PRIORITY","money or safety wording","Invalid UPI ID format","UPI ID का प्रारूप गलत है"
"refer_error_min_withdrawal","REVIEW-PRIORITY","money or safety wording","Minimum withdrawal is Rs.%1$d","न्यूनतम निकासी रु.%1$d है"
"refer_expires_date","REVIEW-PRIORITY","money or safety wording","Expires: %1$s","समाप्ति: %1$s"
"refer_free_posts_available","REVIEW-PRIORITY","money or safety wording","%1$d posts available","%1$d पोस्ट उपलब्ध"
"refer_free_posts_count","REVIEW-PRIORITY","money or safety wording","%1$d free posts","%1$d मुफ़्त पोस्ट"
"refer_friend_bonus_earned","REVIEW-PRIORITY","money or safety wording","Friend bonus: Rs.%1$s","दोस्त बोनस: रु.%1$s"
"refer_invite_subtitle","REVIEW-PRIORITY","money or safety wording","Invite friends and earn cash","दोस्तों को आमंत्रित करें और नकद कमाएं"
"refer_legal_fraud","REVIEW-PRIORITY","money or safety wording","\u2022 Fraudulent activity will result in account suspension","\u2022 धोखाधड़ी करने पर खाता निलंबित कर दिया जाएगा"
"refer_legal_kyc","REVIEW-PRIORITY","money or safety wording","\u2022 KYC required for withdrawals > \u20B910,000/year","\u2022 \u20B910,000/वर्ष से अधिक निकासी के लिए KYC आवश्यक है"
"refer_legal_not_pyramid","REVIEW-PRIORITY","money or safety wording","\u2022 This is a legitimate referral program, not a pyramid scheme","\u2022 यह एक वैध रेफरल कार्यक्रम है, पिरामिड स्कीम नहीं"
"refer_legal_pan","REVIEW-PRIORITY","money or safety wording","\u2022 PAN card mandatory for withdrawals > \u20B950,000/year","\u2022 \u20B950,000/वर्ष से अधिक निकासी के लिए PAN कार्ड अनिवार्य है"
"refer_legal_taxable","REVIEW-PRIORITY","money or safety wording","\u2022 Referral rewards are taxable income under Indian tax laws","\u2022 भारतीय कर कानूनों के तहत रेफरल इनाम कर योग्य आय है"
"refer_milestone_earned","REVIEW-PRIORITY","money or safety wording","Milestone: Rs.%1$s","पड़ाव: रु.%1$s"
"refer_milestone_item","REVIEW-PRIORITY","money or safety wording","%1$d referrals: ₹%2$d milestone bonus","%1$d रेफरल: ₹%2$d पड़ाव बोनस"
"refer_milestone_progress","REVIEW-PRIORITY","money or safety wording","%1$d / %2$d referrals","%1$d / %2$d रेफरल"
"refer_min_withdrawal_info","REVIEW-PRIORITY","money or safety wording","Minimum withdrawal: ₹%1$d","न्यूनतम निकासी: ₹%1$d"
"refer_more_top_performers","REVIEW-PRIORITY","money or safety wording","+%1$d more top performers","+%1$d और शीर्ष प्रदर्शक"
"refer_performer_from_city","REVIEW-PRIORITY","money or safety wording","%1$s from %2$s","%2$s से %1$s"
"refer_redeem_step_1","REVIEW-PRIORITY","money or safety wording","Tap the Withdraw button on this screen","इस स्क्रीन पर निकालें बटन दबाएँ"
"refer_redeem_step_2","REVIEW-PRIORITY","money or safety wording","Enter the amount and your UPI ID","राशि और अपनी UPI ID दर्ज करें"
"refer_redeem_step_3","REVIEW-PRIORITY","money or safety wording","Submit the request for payout review","भुगतान समीक्षा के लिए अनुरोध भेजें"
"refer_redeem_step_4","REVIEW-PRIORITY","money or safety wording","Your referral wallet balance updates immediately after the request","अनुरोध के तुरंत बाद आपका रेफरल वॉलेट बैलेंस अपडेट हो जाता है"
"refer_reward_10_employer","REVIEW-PRIORITY","money or safety wording","10 referrals: Rs.100 bonus + 10 free job posts","10 रेफरल: रु.100 बोनस + 10 मुफ़्त जॉब पोस्ट"
"refer_reward_10_worker","REVIEW-PRIORITY","money or safety wording","10 referrals: Rs.100 milestone bonus","10 रेफरल: रु.100 पड़ाव बोनस"
"refer_reward_100","REVIEW-PRIORITY","money or safety wording","100 referrals: Rs.1000 milestone bonus","100 रेफरल: रु.1000 पड़ाव बोनस"
"refer_reward_15","REVIEW-PRIORITY","money or safety wording","15 referrals: Rs.150 milestone bonus","15 रेफरल: रु.150 पड़ाव बोनस"
"refer_reward_25_employer","REVIEW-PRIORITY","money or safety wording","25 referrals: Rs.250 bonus + 25 free job posts","25 रेफरल: रु.250 बोनस + 25 मुफ़्त जॉब पोस्ट"
"refer_reward_25_worker","REVIEW-PRIORITY","money or safety wording","25 referrals: Rs.250 milestone bonus","25 रेफरल: रु.250 पड़ाव बोनस"
"refer_reward_5_employer","REVIEW-PRIORITY","money or safety wording","5 referrals: Rs.50 bonus + 5 free job posts","5 रेफरल: रु.50 बोनस + 5 मुफ़्त जॉब पोस्ट"
"refer_reward_5_worker","REVIEW-PRIORITY","money or safety wording","5 referrals: Rs.50 milestone bonus","5 रेफरल: रु.50 पड़ाव बोनस"
"refer_reward_50","REVIEW-PRIORITY","money or safety wording","50 referrals: Rs.500 milestone bonus","50 रेफरल: रु.500 पड़ाव बोनस"
"refer_reward_friend_bonus","REVIEW-PRIORITY","money or safety wording","Your friend gets an instant ₹%1$d signup bonus","आपके दोस्त को तुरंत ₹%1$d साइन अप बोनस मिलता है"
"refer_reward_per_referral","REVIEW-PRIORITY","money or safety wording","You earn ₹%1$d for every successful referral","हर सफल रेफरल पर आप ₹%1$d कमाते हैं"
"refer_share_chooser_title","REVIEW-PRIORITY","money or safety wording","Share Referral Code","रेफरल कोड शेयर करें"
"refer_share_friend_bonus","REVIEW-PRIORITY","money or safety wording","Share this code \u2192 friend gets \u20B9%1$d bonus!","यह कोड शेयर करें \u2192 दोस्त को \u20B9%1$d बोनस मिलेगा!"
"refer_signup_bonus_earned","REVIEW-PRIORITY","money or safety wording","Signup bonus: Rs.%1$s","साइन अप बोनस: रु.%1$s"
"refer_status_cancelled","REVIEW-PRIORITY","money or safety wording","Cancelled","रद्द"
"refer_status_expired","REVIEW-PRIORITY","money or safety wording","Expired","समाप्त"
"refer_status_pending","REVIEW-PRIORITY","money or safety wording","Pending","लंबित"
"refer_step_2","REVIEW-PRIORITY","money or safety wording","They sign up using your code","वे आपके कोड से साइन अप करते हैं"
"refer_step_3","REVIEW-PRIORITY","money or safety wording","You earn Rs.20 and they earn Rs.20 instantly","आप रु.20 कमाते हैं और उन्हें तुरंत रु.20 मिलते हैं"
"refer_successful_referrals_count","REVIEW-PRIORITY","money or safety wording","%1$d successful referrals","%1$d सफल रेफरल"
"refer_withdraw_full_balance_note","REVIEW-PRIORITY","money or safety wording","You will withdraw your full available balance and the wallet will reset to Rs.0.","आप अपना पूरा उपलब्ध बैलेंस निकालेंगे और वॉलेट रु.0 पर आ जाएगा।"
"refer_withdrawal_threshold_info","REVIEW-PRIORITY","money or safety wording","Withdraw the full balance once your available balance reaches ₹%1$d.","आपका उपलब्ध बैलेंस ₹%1$d पहुँचने पर आप पूरा बैलेंस निकाल सकते हैं।"
"refer_worker_complete_profile_desc","REVIEW-PRIORITY","money or safety wording","To generate your personalized referral code and start earning rewards, please complete your profile first.","अपना निजी रेफरल कोड बनाने और इनाम कमाना शुरू करने के लिए, कृपया पहले अपनी प्रोफ़ाइल पूरी करें।"
"refer_worker_share_text","REVIEW-PRIORITY","money or safety wording","Join DutyPe and start earning!\n\nUse my referral code: %1$s\n\nDownload: %2$s\n\nFind local jobs near you and earn Rs.%3$d bonus!","DutyPe से जुड़ें और कमाई शुरू करें!\n\nमेरा रेफरल कोड इस्तेमाल करें: %1$s\n\nडाउनलोड करें: %2$s\n\nअपने पास की नौकरियाँ पाएँ और रु.%3$d बोनस कमाएँ!"
"refer_worker_step_1","REVIEW-PRIORITY","money or safety wording","Share your referral code with friends","अपना रेफरल कोड दोस्तों के साथ शेयर करें"
"refer_worker_step_4","REVIEW-PRIORITY","money or safety wording","Hit milestones to unlock extra bonus rewards","अतिरिक्त बोनस पाने के लिए पड़ाव पूरे करें"
"refer_you_earned","REVIEW-PRIORITY","money or safety wording","You: Rs.%1$s","You: Rs.%1$s"
"report_non_payment_action","REVIEW-PRIORITY","money or safety wording","Not paid for this job?","इस नौकरी का भुगतान नहीं मिला?"
"report_non_payment_amount_hint","REVIEW-PRIORITY","money or safety wording","e.g. 800","जैसे 800"
"report_non_payment_amount_label","REVIEW-PRIORITY","money or safety wording","Amount you are owed","आपको कितनी राशि मिलनी है"
"report_non_payment_details_hint","REVIEW-PRIORITY","money or safety wording","Worked full day, employer stopped answering calls","पूरा दिन काम किया, नियोक्ता ने कॉल उठाना बंद कर दिया"
"report_non_payment_details_label","REVIEW-PRIORITY","money or safety wording","What happened? (optional)","क्या हुआ? (वैकल्पिक)"
"report_non_payment_help","REVIEW-PRIORITY","money or safety wording","Use this only if you finished the work and the employer has not paid you. Our team will contact the employer.","इसका इस्तेमाल तभी करें जब आपने काम पूरा किया हो और नियोक्ता ने भुगतान न किया हो। हमारी टीम नियोक्ता से संपर्क करेगी।"
"report_non_payment_submit","REVIEW-PRIORITY","money or safety wording","Report","शिकायत करें"
"report_non_payment_title","REVIEW-PRIORITY","money or safety wording","Report non-payment","भुगतान न मिलने की शिकायत"
"report_non_payment_work_date","REVIEW-PRIORITY","money or safety wording","Work date: %1$s","काम की तारीख: %1$s"
"sub_30_days_validity","REVIEW-PRIORITY","money or safety wording","30 Days Plan Validity","30 दिन की प्लान वैधता"
"sub_choose_plan_desc","REVIEW-PRIORITY","money or safety wording","Choose a plan below to get credits and start posting jobs.","क्रेडिट पाने और नौकरियाँ पोस्ट करना शुरू करने के लिए नीचे से एक प्लान चुनें।"
"sub_current_plan_pill","REVIEW-PRIORITY","money or safety wording","✓ Current","✓ मौजूदा"
"sub_dynamic_instant_unlocks","REVIEW-PRIORITY","money or safety wording","%1$s Instant Contact Unlocks","%1$s तुरंत संपर्क अनलॉक"
"sub_dynamic_job_credits","REVIEW-PRIORITY","money or safety wording","%1$s Job Credits","%1$s जॉब क्रेडिट"
"sub_get_plan","REVIEW-PRIORITY","money or safety wording","Get %1$s","Get %1$s"
"sub_growth_bonus","REVIEW-PRIORITY","money or safety wording","Includes 5 + 1 Free Job Post","5 + 1 मुफ़्त जॉब पोस्ट शामिल"
"sub_growth_instant_unlocks","REVIEW-PRIORITY","money or safety wording","15 Instant Candidate Contact Unlocks","15 तुरंत उम्मीदवार संपर्क अनलॉक"
"sub_growth_job_credits","REVIEW-PRIORITY","money or safety wording","6 Job Credits (","6 जॉब क्रेडिट ("
"sub_included_features","REVIEW-PRIORITY","money or safety wording","Included Features","शामिल सुविधाएँ"
"sub_no_active_plan","REVIEW-PRIORITY","money or safety wording","No Active Subscription","कोई सक्रिय सदस्यता नहीं"
"sub_per_month","REVIEW-PRIORITY","money or safety wording","/ month","/ महीना"
"sub_posts_left_expires","REVIEW-PRIORITY","money or safety wording","%1$d posts left • Expires %2$s","%1$d पोस्ट बाकी • %2$s को समाप्त"
"sub_premium_bonus","REVIEW-PRIORITY","money or safety wording","Includes 10 + 2 Free Job Posts","10 + 2 मुफ़्त जॉब पोस्ट शामिल"
"sub_premium_ceo_support","REVIEW-PRIORITY","money or safety wording","Dedicated support & chat feature with CEO","CEO के साथ समर्पित सहायता और चैट सुविधा"
"sub_premium_instant_unlocks","REVIEW-PRIORITY","money or safety wording","40 Instant Candidate Contact Unlocks","40 तुरंत उम्मीदवार संपर्क अनलॉक"
"sub_premium_job_credits","REVIEW-PRIORITY","money or safety wording","12 Job Credits (","12 जॉब क्रेडिट ("
"sub_renew_now","REVIEW-PRIORITY","money or safety wording","Renew Now","अभी नवीनीकृत करें"
"sub_renew_premium","REVIEW-PRIORITY","money or safety wording","Renew Premium","प्रीमियम नवीनीकृत करें"
"sub_single_instant_unlocks","REVIEW-PRIORITY","money or safety wording","0 Instant Contact Unlocks (Must wait for candidates to apply)","0 तुरंत संपर्क अनलॉक (उम्मीदवारों के आवेदन का इंतज़ार करना होगा)"
"sub_single_job_credit","REVIEW-PRIORITY","money or safety wording","1 Job Post Credit","1 जॉब पोस्ट क्रेडिट"
"sub_starter_instant_unlocks","REVIEW-PRIORITY","money or safety wording","5 Instant Candidate Contact Unlocks","5 तुरंत उम्मीदवार संपर्क अनलॉक"
"sub_starter_job_credits","REVIEW-PRIORITY","money or safety wording","3 Job Credits","3 जॉब क्रेडिट"
"unlock_contact","REVIEW-PRIORITY","money or safety wording","Unlock Contact","संपर्क अनलॉक करें"
"unlock_price","REVIEW-PRIORITY","money or safety wording","Unlock Price","अनलॉक कीमत"
"unlock_worker_contact_desc","REVIEW-PRIORITY","money or safety wording","Unlock %1$s\'s contact details to reach out directly.","सीधे संपर्क करने के लिए %1$s का संपर्क विवरण अनलॉक करें।"
"withdraw","REVIEW-PRIORITY","money or safety wording","Withdraw","निकालें"
"withdraw_application","REVIEW-PRIORITY","money or safety wording","Withdraw Application","आवेदन वापस लें"
"withdraw_application_message","REVIEW-PRIORITY","money or safety wording","Are you sure you want to withdraw your application? This action cannot be undone.","क्या आप वाकई अपना आवेदन वापस लेना चाहते हैं? यह क्रिया वापस नहीं की जा सकती।"
"withdraw_application_title","REVIEW-PRIORITY","money or safety wording","Withdraw Application?","आवेदन वापस लें?"
"withdraw_button","REVIEW-PRIORITY","money or safety wording","Withdraw","निकालें"
"withdraw_earnings","REVIEW-PRIORITY","money or safety wording","Withdraw Earnings","कमाई निकालें"
"withdrawal_history","REVIEW-PRIORITY","money or safety wording","Withdrawal History","निकासी इतिहास"
