"key","severity","issue","english","translation"
"auto_no_jobs_posted_yet","INCONSISTENT","same English has 2 different translations","No Jobs Posted Yet","ఇంకా ఉద్యోగాలు పోస్ట్ చేయలేదు"
"auto_pay_type","INCONSISTENT","same English has 2 different translations","Pay Type","జీతం రకం"
"auto_post_job","INCONSISTENT","same English has 2 different translations","Post Job","ఉద్యోగం పోస్ట్ చేయండి"
"auto_skip","INCONSISTENT","same English has 2 different translations","Skip","స్కిప్"
"browse_jobs","INCONSISTENT","same English has 4 different translations","Browse Jobs","ఉద్యోగాలు బ్రౌజ్ చేయండి"
"complete_profile","INCONSISTENT","same English has 2 different translations","Complete","ప్రొఫైల్ పూర్తి చేయండి"
"done_button","INCONSISTENT","same English has 2 different translations","Done","పూర్తయింది"
"done_status","INCONSISTENT","same English has 2 different translations","Done","పూర్తి"
"edit_profile","INCONSISTENT","same English has 2 different translations","Edit Profile","ప్రొఫైల్ మార్చండి"
"employer_label","INCONSISTENT","same English has 2 different translations","Employer","యజమాని"
"enter_number_of_positions","INCONSISTENT","same English has 2 different translations","Enter number of positions","పదవుల సంఖ్యను నమోదు చేయండి"
"enter_number_positions","INCONSISTENT","same English has 2 different translations","Enter number of positions","పోసిషన్ల సంఖ్యను నమోదు చేయండి"
"enter_otp","INCONSISTENT","same English has 2 different translations","Enter OTP","OTP నమోదు చేయండి"
"filter_jobs","INCONSISTENT","same English has 2 different translations","Filter Jobs","ఉద్యోగాలు ఫిల్టర్ చేయండి"
"help_and_support","INCONSISTENT","same English has 2 different translations","Help & FAQs","సహాయం & తరచుగా అడిగే ప్రశ్నలు"
"help_faqs","INCONSISTENT","same English has 2 different translations","Help & FAQs","సహాయం మరియు తరచుగా అడిగే ప్రశ్నలు"
"hired","INCONSISTENT","same English has 2 different translations","Hired","నియమించబడినవి"
"how_can_we_help","INCONSISTENT","same English has 2 different translations","How can we help\nyou today?","ఈ రోజు మీకు ఎలా\nసహాయం చేయగలం?"
"how_can_we_help_today","INCONSISTENT","same English has 2 different translations","How can we help\nyou today?","మేము నేడు మీకు ఎలా\nసాయపడగలము?"
"jobs_filter_title","INCONSISTENT","same English has 2 different translations","Filter Jobs","ఉద్యోగాలను ఫిల్టర్ చేయండి"
"jobs_salary_range","INCONSISTENT","same English has 2 different translations","Salary Range","జీతం శ్రేణి"
"jobs_sort_by","INCONSISTENT","same English has 2 different translations","Sort By","దీని ప్రకారం సార్ట్ చేయండి"
"login_access_feature","INCONSISTENT","same English has 2 different translations","Please login to access this feature","ఈ ఫీచర్ ఉపయోగించడానికి దయచేసి లాగిన్ అవ్వండి"
"login_refer_earn","INCONSISTENT","same English has 2 different translations","Login to refer friends and earn rewards","స్నేహితులను రిఫర్ చేసి సంపాదించడానికి లాగిన్ అవ్వండి"
"login_to_access_feature","INCONSISTENT","same English has 2 different translations","Please login to access this feature","ఈ ఫీచర్‌ను యాక్సెస్ చేయడానికి దయచేసి లాగిన్ అవ్వండి"
"login_to_refer_earn","INCONSISTENT","same English has 2 different translations","Login to refer friends and earn rewards","స్నేహితులను రిఫర్ చేసి రివార్డ్‌లు సంపాదించడానికి లాగిన్ అవ్వండి"
"logout_confirmation","INCONSISTENT","same English has 2 different translations","Are you sure you want to logout?","మీరు లాగ్ అవుట్ అవ్వాలనుకుంటున్నారా? మీ ఖాతాను యాక్సెస్ చేయడానికి మీరు మళ్ళీ సైన్ ఇన్ చేయాలి."
"map_urgent_hiring","INCONSISTENT","same English has 2 different translations","URGENT - Hiring Today!","అర్జెంట్ - ఈరోజు నియమిస్తున్నాం!"
"my_activity","INCONSISTENT","same English has 2 different translations","My Activity","నా కార్యకలాపాలు"
"next","INCONSISTENT","same English has 2 different translations","Next","తదుపరి"
"no_jobs_posted_yet","INCONSISTENT","same English has 2 different translations","No Jobs Posted Yet","ఇంకా ఏ ఉద్యోగాలు పోస్ట్ చేయబడలేదు"
"notif_action_browse_jobs","INCONSISTENT","same English has 4 different translations","Browse Jobs","ఉద్యోగాలను చూడండి"
"notif_app_status_rejected_title","INCONSISTENT","same English has 2 different translations","Application Update","దరఖాస్తు నవీకరణ"
"notif_delete","INCONSISTENT","same English has 2 different translations","Delete","తొలగించండి"
"notif_retry","INCONSISTENT","same English has 2 different translations","Retry","మళ్ళీ ప్రయత్నించండి"
"notif_type_application_update","INCONSISTENT","same English has 2 different translations","Application Update","దరఖాస్తు అప్‌డేట్"
"notif_type_recommended","INCONSISTENT","same English has 2 different translations","Recommended","సిఫారసు చేయబడింది"
"notif_type_shortlisted","INCONSISTENT","same English has 2 different translations","Shortlisted","షార్ట్‌లిస్ట్"
"onboarding_next","INCONSISTENT","same English has 2 different translations","Next","తరువాత"
"others","INCONSISTENT","same English has 2 different translations","Others","ఇతరాలు"
"pay_type","INCONSISTENT","same English has 2 different translations","Pay Type","చెల్లింపు రకం"
"post_job_button","INCONSISTENT","same English has 2 different translations","Post Job","ఉద్యోగాన్ని పోస్ట్ చేయండి"
"post_job_work_location","INCONSISTENT","same English has 2 different translations","Work Location","పని స్థలం"
"post_urgent_need_title","INCONSISTENT","same English has 2 different translations","Urgent Work","అర్జెంట్ అవసరం పోస్ట్ చేయండి"
"profile_edit_profile","INCONSISTENT","same English has 2 different translations","Edit Profile","ప్రొఫైల్ ఎడిట్ చేయండి"
"profile_my_activity","INCONSISTENT","same English has 2 different translations","My Activity","నా కార్యకలాపం"
"profile_others","INCONSISTENT","same English has 2 different translations","Others","ఇతరులు"
"profile_rewards","INCONSISTENT","same English has 2 different translations","Rewards","రివార్డ్‌లు"
"profile_tap_photo_change","INCONSISTENT","same English has 2 different translations","Tap photo to change","మార్చడానికి ఫోటోను ట్యాప్ చేయండి"
"quick_action_applied","INCONSISTENT","same English has 2 different translations","Applied Jobs","దరఖాస్తులు"
"quick_action_browse_jobs","INCONSISTENT","same English has 4 different translations","Browse Jobs","ఉద్యోగాలు"
"recommended","INCONSISTENT","same English has 2 different translations","Recommended","సిఫార్సు చేయబడినవి"
"refer_complete_profile_title","INCONSISTENT","same English has 2 different translations","Complete Your Profile","మీ ప్రొఫైల్‌ను పూర్తి చేయండి"
"report","INCONSISTENT","same English has 2 different translations","Report","నివేదిక"
"report_non_payment_submit","INCONSISTENT","same English has 2 different translations","Report","నివేదించండి"
"resend_otp","INCONSISTENT","same English has 2 different translations","Resend OTP","OTP మళ్ళీ పంపండి"
"retry_button","INCONSISTENT","same English has 2 different translations","Retry","మళ్ళీ ప్రయత్నించు"
"rewards","INCONSISTENT","same English has 2 different translations","Rewards","రివార్డులు"
"role_employer","INCONSISTENT","same English has 2 different translations","Employer","ఎంప్లాయర్"
"salary_range","INCONSISTENT","same English has 2 different translations","Salary Range","జీతం పరిధి"
"share","INCONSISTENT","same English has 2 different translations","Share","షేర్ చేయండి"
"share_button","INCONSISTENT","same English has 2 different translations","Share","షేర్"
"shortlisted","INCONSISTENT","same English has 2 different translations","Shortlisted","షార్ట్‌లిస్ట్ చేయబడినవి"
"skip","INCONSISTENT","same English has 2 different translations","Skip","దాటవేయి"
"sort_by","INCONSISTENT","same English has 2 different translations","Sort By","ఇలా క్రమబద్ధీకరించు"
"status_hired","INCONSISTENT","same English has 2 different translations","Hired","నియమించబడింది"
"tap_photo_to_change","INCONSISTENT","same English has 2 different translations","Tap photo to change","ఫోటో మార్చడానికి నొక్కండి"
"tutorial_step2_title","INCONSISTENT","same English has 4 different translations","Browse Jobs","ఉద్యోగాలను బ్రౌజ్ చేయండి"
"urgent_hiring_today","INCONSISTENT","same English has 2 different translations","URGENT - Hiring Today!","అత్యవసరం - ఈ రోజు నియమిస్తున్నారు!"
"urgent_work","INCONSISTENT","same English has 2 different translations","Urgent Work","అర్జెంట్ పని"
"work_location","INCONSISTENT","same English has 2 different translations","Work Location","పని ప్రదేశం"
"categories","TOO-SHORT","ratio 0.39 - meaning may be dropped","Popular Categories","వర్గాలు"
"login_to_post_job","TOO-LONG","ratio 2.53 - may clip in UI","Login to Post Job","ఉద్యోగాన్ని పోస్ట్ చేయడానికి లాగిన్ అవ్వండి"
"logout_confirmation","TOO-LONG","ratio 2.91 - may clip in UI","Are you sure you want to logout?","మీరు లాగ్ అవుట్ అవ్వాలనుకుంటున్నారా? మీ ఖాతాను యాక్సెస్ చేయడానికి మీరు మళ్ళీ సైన్ ఇన్ చేయాలి."
"amount","REVIEW-PRIORITY","money or safety wording","Amount","మొత్తం"
"amount_example_hint","REVIEW-PRIORITY","money or safety wording","e.g. 12000","ఉదా. 12000"
"amount_placeholder","REVIEW-PRIORITY","money or safety wording","10000 or 11000-15000","10000 లేదా 11000-15000"
"amount_rs","REVIEW-PRIORITY","money or safety wording","Amount (Rs.)","మొత్తం (రూ.)"
"amount_rupees","REVIEW-PRIORITY","money or safety wording","Amount (₹)","మొత్తం (₹)"
"apply_tip_confirm_details","REVIEW-PRIORITY","money or safety wording","Call the employer and confirm work time, place, and pay before leaving.","బయలుదేరే ముందు ఉద్యోగదాతకు కాల్ చేసి పని సమయం, ప్రదేశం, వేతనం నిర్ధారించుకోండి."
"apply_tip_no_fee","REVIEW-PRIORITY","money or safety wording","Do not pay any fee to get the job. Report suspicious requests.","ఉద్యోగం కోసం ఎటువంటి ఫీజు చెల్లించకండి. అనుమానాస్పద అభ్యర్థనలను రిపోర్ట్ చేయండి."
"apply_tip_polite_work","REVIEW-PRIORITY","money or safety wording","Speak politely, do only the agreed work, and ask before extra work.","మర్యాదగా మాట్లాడండి, ఒప్పుకున్న పనినే చేయండి, అదనపు పనికి ముందు అడగండి."
"apply_tip_reach_on_time","REVIEW-PRIORITY","money or safety wording","Reach on time and keep your phone reachable.","సమయానికి చేరుకోండి, మీ ఫోన్ అందుబాటులో ఉంచండి."
"benefit_direct_communication","REVIEW-PRIORITY","money or safety wording","💬 Direct communication","💬 నేరుగా సంభాషణ"
"benefit_faster_hiring","REVIEW-PRIORITY","money or safety wording","⚡ Faster hiring process","⚡ వేగవంతమైన నియామక ప్రక్రియ"
"benefit_phone_number","REVIEW-PRIORITY","money or safety wording","📞 Get phone number instantly","📞 ఫోన్ నంబర్ వెంటనే పొందండి"
"job_safety_ai_analysis","REVIEW-PRIORITY","money or safety wording","AI Safety Analysis","AI భద్రతా విశ్లేషణ"
"job_safety_caution","REVIEW-PRIORITY","money or safety wording","Proceed with Caution","జాగ్రత్తగా ముందుకు సాగండి"
"job_safety_high_risk","REVIEW-PRIORITY","money or safety wording","High Risk Detected","అధిక ప్రమాదం గుర్తించబడింది"
"job_safety_learn_more","REVIEW-PRIORITY","money or safety wording","Learn more about job safety →","ఉద్యోగ భద్రత గురించి మరింత తెలుసుకోండి →"
"job_safety_looks_good","REVIEW-PRIORITY","money or safety wording","Looks Good","బాగుంది"
"job_safety_risk_score","REVIEW-PRIORITY","money or safety wording","Risk Score","ప్రమాద స్కోర్"
"job_safety_scam_alert","REVIEW-PRIORITY","money or safety wording","Scam Alert!","మోసం హెచ్చరిక!"
"job_safety_verified","REVIEW-PRIORITY","money or safety wording","Verified Safe","ధృవీకరించబడిన సురక్షితం"
"pay_and_unlock","REVIEW-PRIORITY","money or safety wording","Pay ₹%1$d & Unlock","₹%1$d చెల్లించి అన్‌లాక్ చేయండి"
"pay_label","REVIEW-PRIORITY","money or safety wording","Pay","చెల్లింపు"
"pay_type","REVIEW-PRIORITY","money or safety wording","Pay Type","చెల్లింపు రకం"
"pay_where_work","REVIEW-PRIORITY","money or safety wording","Pay & where to work","చెల్లింపు మరియు పని ప్రదేశం"
"payment_amount_hint","REVIEW-PRIORITY","money or safety wording","e.g., 10000 or 11000-15000","ఉదా. 10000 లేదా 11000-15000"
"payment_details","REVIEW-PRIORITY","money or safety wording","Payment Details","చెల్లింపు వివరాలు"
"payment_failed_error","REVIEW-PRIORITY","money or safety wording","Payment failed: %1$s","చెల్లింపు విఫలమైంది: %1$s"
"payment_protected","REVIEW-PRIORITY","money or safety wording","Payment protected by","చెల్లింపు రక్షించబడింది"
"refer_available_balance","REVIEW-PRIORITY","money or safety wording","Available: Rs.%1$d","అందుబాటులో: Rs.%1$d"
"refer_bonus_amount","REVIEW-PRIORITY","money or safety wording","Rs.%1$d bonus","Rs.%1$d బోనస్"
"refer_code_clipboard_label","REVIEW-PRIORITY","money or safety wording","Referral Code","రెఫరల్ కోడ్"
"refer_complete_profile_button","REVIEW-PRIORITY","money or safety wording","Complete Profile","ప్రొఫైల్ పూర్తి చేయండి"
"refer_complete_profile_title","REVIEW-PRIORITY","money or safety wording","Complete Your Profile","మీ ప్రొఫైల్‌ను పూర్తి చేయండి"
"refer_complete_profile_to_withdraw","REVIEW-PRIORITY","money or safety wording","Complete your profile fully before you can withdraw earnings","సంపాదనను విత్‌డ్రా చేయడానికి ముందు మీ ప్రొఫైల్‌ను పూర్తిగా నింపండి"
"refer_default_user_name","REVIEW-PRIORITY","money or safety wording","User","వాడకం"
"refer_earn","REVIEW-PRIORITY","money or safety wording","Refer & Earn","రిఫర్ & సంపాదించండి"
"refer_earn_amount","REVIEW-PRIORITY","money or safety wording","Refer & Earn ₹%1$d","రిఫర్ చేసి ₹%1$d సంపాదించండి"
"refer_earn_guest_subtitle","REVIEW-PRIORITY","money or safety wording","Create an account to unlock referral rewards","రిఫరల్ రివార్డ్స్ అన్‌లాక్ చేయడానికి ఖాతా సృష్టించండి"
"refer_earn_guest_title","REVIEW-PRIORITY","money or safety wording","Refer & Earn after signup","సైన్‌అప్ తర్వాత రిఫర్ చేసి సంపాదించండి"
"refer_earn_more_to_withdraw","REVIEW-PRIORITY","money or safety wording","Earn ₹%1$s more to unlock withdrawal (min ₹%2$s)","విత్‌డ్రా అన్‌లాక్ చేయడానికి మరో ₹%1$s సంపాదించండి (కనీసం ₹%2$s)"
"refer_employer_complete_profile_desc","REVIEW-PRIORITY","money or safety wording","To generate your personalized referral code and start earning rewards, please complete your company profile first.","మీ వ్యక్తిగత రెఫరల్ కోడ్‌ను జెనరేట్ చేయడానికి మరియు రివార్డ్‌లు సంపాదించడం ప్రారంభించడానికి, దయచేసి ముందుగా మీ కంపెనీ ప్రొఫైల్‌ను పూర్తి చేయండి."
"refer_employer_share_text","REVIEW-PRIORITY","money or safety wording","Join DutyPe for hiring!\n\nUse my referral code: %1$s\n\nDownload DutyPe: %2$s\n\nFind reliable workers for your business and earn Rs.%3$d bonus!","నేమకాల కోసం DutyPeలో చేరండి!\n\nనా రెఫరల్ కోడ్ ఉపయోగించండి: %1$s\n\nDutyPe డౌన్‌లోడ్: %2$s\n\nమీ వ్యాపారం కోసం నమ్మకమైన కార్మికులను కనుగొనండి మరియు Rs.%3$d బోనస్ సంపాదించండి!"
"refer_employer_step_1","REVIEW-PRIORITY","money or safety wording","Share your referral code with employers or workers","మీ రెఫరల్ కోడ్‌ను యజమానులు లేదా కార్మికులతో షేర్ చేయండి"
"refer_employer_step_4","REVIEW-PRIORITY","money or safety wording","Reach milestones for bonus cash and free job posts","బోనస్ నగదు మరియు ఉచిత ఉద్యోగ పోస్ట్‌ల కోసం మైలురాయిలను చేరుకోండి"
"refer_error_enter_upi","REVIEW-PRIORITY","money or safety wording","Enter UPI ID","UPI ID నమోదు చేయండి"
"refer_error_insufficient_balance","REVIEW-PRIORITY","money or safety wording","Insufficient balance","సరిపడని బ్యాలెన్స్"
"refer_error_invalid_upi","REVIEW-PRIORITY","money or safety wording","Invalid UPI ID format","చెల్లని UPI ID ఫార్మాట్"
"refer_error_min_withdrawal","REVIEW-PRIORITY","money or safety wording","Minimum withdrawal is Rs.%1$d","కనీస ఉపసంహరణ Rs.%1$d"
"refer_expires_date","REVIEW-PRIORITY","money or safety wording","Expires: %1$s","గడువు: %1$s"
"refer_free_posts_available","REVIEW-PRIORITY","money or safety wording","%1$d posts available","%1$d పోస్ట్‌లు అందుబాటులో ఉన్నాయి"
"refer_free_posts_count","REVIEW-PRIORITY","money or safety wording","%1$d free posts","%1$d ఉచిత పోస్ట్‌లు"
"refer_friend_bonus_earned","REVIEW-PRIORITY","money or safety wording","Friend bonus: Rs.%1$s","స్నేహితుడి బోనస్: Rs.%1$s"
"refer_invite_subtitle","REVIEW-PRIORITY","money or safety wording","Invite friends and earn cash","స్నేహితులను ఆహ్వానించి నగదు సంపాదించండి"
"refer_legal_fraud","REVIEW-PRIORITY","money or safety wording","\u2022 Fraudulent activity will result in account suspension","• మోసపూరిత కార్యకలాపం ఖాతా నిలుపుదలకు దారి తీస్తుంది"
"refer_legal_kyc","REVIEW-PRIORITY","money or safety wording","\u2022 KYC required for withdrawals > \u20B910,000/year","• ₹10,000/సంవత్సరం కంటే ఎక్కువ ఉపసంహరణలకు KYC అవసరం"
"refer_legal_not_pyramid","REVIEW-PRIORITY","money or safety wording","\u2022 This is a legitimate referral program, not a pyramid scheme","• ఇది చట్టబద్ధమైన రెఫరల్ ప్రోగ్రామ్, పిరమిడ్ స్కీమ్ కాదు"
"refer_legal_pan","REVIEW-PRIORITY","money or safety wording","\u2022 PAN card mandatory for withdrawals > \u20B950,000/year","• ₹50,000/సంవత్సరం కంటే ఎక్కువ ఉపసంహరణలకు PAN కార్డ్ తప్పనిసరి"
"refer_legal_taxable","REVIEW-PRIORITY","money or safety wording","\u2022 Referral rewards are taxable income under Indian tax laws","• రెఫరల్ రివార్డ్‌లు భారత పన్ను చట్టాల ప్రకారం పన్ను విధించదగిన ఆదాయం"
"refer_milestone_earned","REVIEW-PRIORITY","money or safety wording","Milestone: Rs.%1$s","మైలురాయి: Rs.%1$s"
"refer_milestone_item","REVIEW-PRIORITY","money or safety wording","%1$d referrals: ₹%2$d milestone bonus","%1$d రిఫరల్స్: ₹%2$d మైలురాయి బోనస్"
"refer_milestone_progress","REVIEW-PRIORITY","money or safety wording","%1$d / %2$d referrals","%1$d / %2$d రెఫరల్‌లు"
"refer_min_withdrawal_info","REVIEW-PRIORITY","money or safety wording","Minimum withdrawal: ₹%1$d","కనీస ఉపసంహరణ: ₹%1$d"
"refer_more_top_performers","REVIEW-PRIORITY","money or safety wording","+%1$d more top performers","+%1$d మరిన్ని టాప్ పర్ఫార్మర్‌లు"
"refer_performer_from_city","REVIEW-PRIORITY","money or safety wording","%1$s from %2$s","%1$s నుండి %2$s"
"refer_redeem_step_1","REVIEW-PRIORITY","money or safety wording","Tap the Withdraw button on this screen","ఈ స్క్రీన్‌లో ఉపసంహరించు బటన్ ట్యాప్ చేయండి"
"refer_redeem_step_2","REVIEW-PRIORITY","money or safety wording","Enter the amount and your UPI ID","మొత్తం మరియు మీ UPI ID నమోదు చేయండి"
"refer_redeem_step_3","REVIEW-PRIORITY","money or safety wording","Submit the request for payout review","చెల్లింపు సమీక్ష కోసం అభ్యర్థనను సమర్పించండి"
"refer_redeem_step_4","REVIEW-PRIORITY","money or safety wording","Your referral wallet balance updates immediately after the request","అభ్యర్థన తర్వాత మీ రెఫరల్ వాలెట్ బ్యాలెన్స్ వెంటనే అప్‌డేట్ అవుతుంది"
"refer_reward_10_employer","REVIEW-PRIORITY","money or safety wording","10 referrals: Rs.100 bonus + 10 free job posts","10 రెఫరల్‌లు: Rs.100 బోనస్ + 10 ఉచిత ఉద్యోగ పోస్ట్‌లు"
"refer_reward_10_worker","REVIEW-PRIORITY","money or safety wording","10 referrals: Rs.100 milestone bonus","10 రెఫరల్‌లు: Rs.100 మైలురాయి బోనస్"
"refer_reward_100","REVIEW-PRIORITY","money or safety wording","100 referrals: Rs.1000 milestone bonus","100 రెఫరల్‌లు: Rs.1000 మైలురాయి బోనస్"
"refer_reward_15","REVIEW-PRIORITY","money or safety wording","15 referrals: Rs.150 milestone bonus","15 రెఫరల్‌లు: Rs.150 మైలురాయి బోనస్"
"refer_reward_25_employer","REVIEW-PRIORITY","money or safety wording","25 referrals: Rs.250 bonus + 25 free job posts","25 రెఫరల్‌లు: Rs.250 బోనస్ + 25 ఉచిత ఉద్యోగ పోస్ట్‌లు"
"refer_reward_25_worker","REVIEW-PRIORITY","money or safety wording","25 referrals: Rs.250 milestone bonus","25 రెఫరల్‌లు: Rs.250 మైలురాయి బోనస్"
"refer_reward_5_employer","REVIEW-PRIORITY","money or safety wording","5 referrals: Rs.50 bonus + 5 free job posts","5 రెఫరల్‌లు: Rs.50 బోనస్ + 5 ఉచిత ఉద్యోగ పోస్ట్‌లు"
"refer_reward_5_worker","REVIEW-PRIORITY","money or safety wording","5 referrals: Rs.50 milestone bonus","5 రెఫరల్‌లు: Rs.50 మైలురాయి బోనస్"
"refer_reward_50","REVIEW-PRIORITY","money or safety wording","50 referrals: Rs.500 milestone bonus","50 రెఫరల్‌లు: Rs.500 మైలురాయి బోనస్"
"refer_reward_friend_bonus","REVIEW-PRIORITY","money or safety wording","Your friend gets an instant ₹%1$d signup bonus","మీ స్నేహితుడికి వెంటనే ₹%1$d సైన్ అప్ బోనస్ వస్తుంది"
"refer_reward_per_referral","REVIEW-PRIORITY","money or safety wording","You earn ₹%1$d for every successful referral","ప్రతి విజయవంతమైన రెఫరల్‌కు మీరు ₹%1$d సంపాదిస్తారు"
"refer_share_chooser_title","REVIEW-PRIORITY","money or safety wording","Share Referral Code","రెఫరల్ కోడ్ షేర్ చేయండి"
"refer_share_friend_bonus","REVIEW-PRIORITY","money or safety wording","Share this code \u2192 friend gets \u20B9%1$d bonus!","ఈ కోడ్ షేర్ చేయండి → స్నేహితుడికి ₹%1$d బోనస్!"
"refer_signup_bonus_earned","REVIEW-PRIORITY","money or safety wording","Signup bonus: Rs.%1$s","సైన్ అప్ బోనస్: Rs.%1$s"
"refer_status_cancelled","REVIEW-PRIORITY","money or safety wording","Cancelled","రద్దు చేయబడింది"
"refer_status_expired","REVIEW-PRIORITY","money or safety wording","Expired","గడువు ముగిసింది"
"refer_status_pending","REVIEW-PRIORITY","money or safety wording","Pending","పెండింగ్"
"refer_step_2","REVIEW-PRIORITY","money or safety wording","They sign up using your code","వారు మీ కోడ్ ఉపయోగించి సైన్ అప్ చేస్తారు"
"refer_step_3","REVIEW-PRIORITY","money or safety wording","You earn Rs.20 and they earn Rs.20 instantly","మీరు Rs.20 మరియు వారు Rs.20 వెంటనే సంపాదిస్తారు"
"refer_successful_referrals_count","REVIEW-PRIORITY","money or safety wording","%1$d successful referrals","%1$d విజయవంతమైన రెఫరల్‌లు"
"refer_withdraw_full_balance_note","REVIEW-PRIORITY","money or safety wording","You will withdraw your full available balance and the wallet will reset to Rs.0.","మీరు అందుబాటులో ఉన్న మొత్తం బ్యాలెన్స్‌ను విత్‌డ్రా చేస్తారు మరియు వాలెట్ ₹0కి రీసెట్ అవుతుంది."
"refer_withdrawal_threshold_info","REVIEW-PRIORITY","money or safety wording","Withdraw the full balance once your available balance reaches ₹%1$d.","మీ అందుబాటు బ్యాలెన్స్ ₹%1$dకు చేరిన తర్వాత పూర్తి బ్యాలెన్స్‌ను విత్‌డ్రా చేసుకోవచ్చు."
"refer_worker_complete_profile_desc","REVIEW-PRIORITY","money or safety wording","To generate your personalized referral code and start earning rewards, please complete your profile first.","మీ వ్యక్తిగత రెఫరల్ కోడ్‌ను జెనరేట్ చేయడానికి మరియు రివార్డ్‌లు సంపాదించడం ప్రారంభించడానికి, దయచేసి ముందుగా మీ ప్రొఫైల్‌ను పూర్తి చేయండి."
"refer_worker_share_text","REVIEW-PRIORITY","money or safety wording","Join DutyPe and start earning!\n\nUse my referral code: %1$s\n\nDownload: %2$s\n\nFind local jobs near you and earn Rs.%3$d bonus!","DutyPeలో చేరి సంపాదించడం ప్రారంభించండి!\n\nనా రెఫరల్ కోడ్ ఉపయోగించండి: %1$s\n\nడౌన్‌లోడ్: %2$s\n\nమీ సమీపంలో స్థానిక ఉద్యోగాలను కనుగొనండి మరియు Rs.%3$d బోనస్ సంపాదించండి!"
"refer_worker_step_1","REVIEW-PRIORITY","money or safety wording","Share your referral code with friends","మీ రెఫరల్ కోడ్‌ను స్నేహితులతో షేర్ చేయండి"
"refer_worker_step_4","REVIEW-PRIORITY","money or safety wording","Hit milestones to unlock extra bonus rewards","అదనపు బోనస్ రివార్డ్‌లను అన్‌లాక్ చేయడానికి మైలురాయిలను చేరుకోండి"
"refer_you_earned","REVIEW-PRIORITY","money or safety wording","You: Rs.%1$s","మీరు: Rs.%1$s"
"report_non_payment_action","REVIEW-PRIORITY","money or safety wording","Not paid for this job?","ఈ ఉద్యోగానికి చెల్లింపు అందలేదా?"
"report_non_payment_amount_hint","REVIEW-PRIORITY","money or safety wording","e.g. 800","ఉదా. 800"
"report_non_payment_amount_label","REVIEW-PRIORITY","money or safety wording","Amount you are owed","మీకు రావలసిన మొత్తం"
"report_non_payment_details_hint","REVIEW-PRIORITY","money or safety wording","Worked full day, employer stopped answering calls","పూర్తి రోజు పని చేశాను, యజమాని కాల్స్ ఎత్తడం మానేశారు"
"report_non_payment_details_label","REVIEW-PRIORITY","money or safety wording","What happened? (optional)","ఏమి జరిగింది? (ఐచ్ఛికం)"
"report_non_payment_help","REVIEW-PRIORITY","money or safety wording","Use this only if you finished the work and the employer has not paid you. Our team will contact the employer.","మీరు పని పూర్తి చేసి, యజమాని చెల్లించనప్పుడు మాత్రమే దీన్ని వాడండి. మా బృందం యజమానిని సంప్రదిస్తుంది."
"report_non_payment_submit","REVIEW-PRIORITY","money or safety wording","Report","నివేదించండి"
"report_non_payment_title","REVIEW-PRIORITY","money or safety wording","Report non-payment","చెల్లింపు అందలేదని నివేదించండి"
"report_non_payment_work_date","REVIEW-PRIORITY","money or safety wording","Work date: %1$s","పని తేదీ: %1$s"
