about_emp_cat_event	इवेंट और कैटरिंग स्टाफ़
tutorial_step1_desc	अपने फ़ोन नंबर से साइन अप करें और अपने कौशल व अनुभव के साथ प्रोफ़ाइल पूरी करें।
tutorial_step2_title	नौकरियाँ देखें
tutorial_step2_desc	श्रेणी, स्थान या कीवर्ड से अपने पास की नौकरियाँ खोजें।
tutorial_step3_title	एक टैप में आवेदन करें
tutorial_step3_desc	पसंद की नौकरी मिली? तुरंत आवेदन करें या व्हाट्सएप से नियोक्ता से संपर्क करें।
tutorial_step4_title	सुरक्षित रहें
tutorial_step4_desc	हम धोखाधड़ी वाली नौकरियाँ पकड़ने और आपकी सुरक्षा के लिए AI इस्तेमाल करते हैं — सुरक्षा बैज देखें!
tutorial_step5_title	अपनी साख बनाएँ
tutorial_step5_desc	नौकरियाँ पूरी करें, रेटिंग कमाएँ, और ट्रस्ट बैज पाएँ।
employer_help_title	हम आपकी कैसे मदद कर सकते हैं?
employer_help_subtitle	किसी भी सवाल में मदद के लिए हम यहाँ हैं
employer_guide_getting_started_content	1. कंपनी विवरण के साथ अपनी नियोक्ता प्रोफ़ाइल पूरी करें\n2. अपनी कंपनी का लोगो और विवरण जोड़ें\n3. सुरक्षा के लिए अपना फ़ोन नंबर सत्यापित करें\n4. अब आप नौकरी पोस्ट करने के लिए तैयार हैं!
employer_guide_posting_job_content	1. होम स्क्रीन पर \'+\' बटन दबाएँ\n2. पद का नाम, श्रेणी और विवरण भरें\n3. वेतन सीमा और कार्य स्थान तय करें\n4. आवश्यकताएँ और सुविधाएँ जोड़ें\n5. समीक्षा करें और नौकरी पोस्ट करें
employer_guide_managing_apps_content	1. अपनी सभी पोस्टिंग देखने के लिए \'मेरी नौकरियाँ\' पर जाएँ\n2. आवेदन देखने के लिए किसी नौकरी पर टैप करें\n3. आवेदकों की प्रोफ़ाइल और अनुभव देखें\n4. उम्मीदवारों को शॉर्टलिस्ट या अस्वीकार करें\n5. चुने गए उम्मीदवारों से सीधे संपर्क करें
employer_guide_verifying_work_content	1. नौकरी के लिए QR कोड बनाएँ\n2. कर्मचारी काम शुरू करने के लिए QR स्कैन करता है\n3. काम पूरा होने पर उसकी पुष्टि करें\n4. कर्मचारी पूरा करने के लिए फिर से QR स्कैन करता है\n5. कर्मचारी के प्रदर्शन को रेटिंग दें
employer_guide_trust_score_content	• अपनी प्रोफ़ाइल 100% पूरी करें\n• विस्तृत नौकरी विवरण पोस्ट करें\n• आवेदनों का तुरंत जवाब दें\n• काम पूरा होने की सही पुष्टि करें\n• कर्मचारियों से अच्छी रेटिंग बनाए रखें
employer_guide_best_practices_content	• स्पष्ट नौकरी विवरण लिखें\n• वास्तविक वेतन अपेक्षाएँ रखें\n• आवेदकों को 24 घंटे में जवाब दें\n• सही कार्य स्थान बताएँ\n• कर्मचारियों को निष्पक्ष रेटिंग दें\n• अपनी प्रोफ़ाइल अपडेट रखें
employer_faq_post_job_question	मैं नौकरी कैसे पोस्ट करूँ?
employer_faq_post_job_answer	होम स्क्रीन पर जाएँ और \'+\' बटन दबाएँ, या नीचे के नेविगेशन से \'नौकरी पोस्ट करें\' चुनें। पद का नाम, विवरण, वेतन और स्थान भरें, फिर \'नौकरी पोस्ट करें\' दबाएँ।
employer_faq_view_apps_question	मैं आवेदन कैसे देखूँ?
employer_faq_view_apps_answer	अपने डैशबोर्ड से किसी भी पोस्ट की गई नौकरी पर टैप करके उसके आवेदन देखें। आप \'मेरी नौकरियाँ\' में जाकर भी किसी नौकरी के सभी आवेदक देख सकते हैं।
employer_faq_contact_applicant_question	मैं किसी आवेदक से कैसे संपर्क करूँ?
employer_faq_contact_applicant_answer	आवेदन सूची से आवेदक की प्रोफ़ाइल खोलें। वहाँ आप उनका विवरण और संपर्क जानकारी देखकर सीधे संपर्क कर सकते हैं।
employer_faq_edit_job_question	मैं जॉब पोस्टिंग कैसे संपादित या हटाऊँ?
employer_faq_edit_job_answer	\'मेरी नौकरियाँ\' पर जाएँ, जिस नौकरी को बदलना है उसे खोलें। वहाँ आपको विवरण संपादित करने या पोस्टिंग रोकने/हटाने के विकल्प मिलेंगे।
employer_faq_payment_methods_question	कौन-कौन से भुगतान तरीके स्वीकार हैं?
employer_faq_payment_methods_answer	फ़िलहाल हम किसी भी प्रीमियम सुविधा या प्रमोटेड जॉब लिस्टिंग के लिए UPI, क्रेडिट/डेबिट कार्ड और नेट बैंकिंग स्वीकार करते हैं।
employer_faq_switch_worker_question	मैं कर्मचारी मोड में कैसे जाऊँ?
employer_faq_switch_worker_answer	अपनी प्रोफ़ाइल स्क्रीन पर जाएँ और \'कर्मचारी मोड में जाएँ\' विकल्प चालू करें। इससे आप कर्मचारी के रूप में नौकरियाँ देख और आवेदन कर सकते हैं।
whatsapp_employer_message	नमस्ते DutyPe टीम! मैं DutyPe पर एक नियोक्ता हूँ और मुझे ऐप में मदद चाहिए।
email_subject_employer_support	नियोक्ता सहायता
email_subject_bug_report_employer	बग रिपोर्ट - नियोक्ता ऐप
email_subject_feedback_employer	प्रतिक्रिया - नियोक्ता ऐप
employer_user_guide_header	उपयोगकर्ता गाइड
employer_faq_header	अक्सर पूछे जाने वाले प्रश्न
employer_quick_links_header	त्वरित लिंक
employer_legal_header	कानूनी और नीतियाँ
refer_complete_profile_title	अपनी प्रोफ़ाइल पूरी करें
refer_complete_profile_button	प्रोफ़ाइल पूरी करें
refer_code_clipboard_label	रेफरल कोड
refer_share_chooser_title	रेफरल कोड शेयर करें
refer_successful_referrals_count	%1$d सफल रेफरल
refer_milestone_progress	%1$d / %2$d रेफरल
refer_bonus_amount	रु.%1$d बोनस
refer_free_posts_count	%1$d मुफ़्त पोस्ट
refer_free_posts_available	%1$d पोस्ट उपलब्ध
refer_expires_date	समाप्ति: %1$s
refer_step_2	वे आपके कोड से साइन अप करते हैं
refer_step_3	आप रु.20 कमाते हैं और उन्हें तुरंत रु.20 मिलते हैं
refer_reward_per_referral	हर सफल रेफरल पर आप ₹%1$d कमाते हैं
refer_reward_friend_bonus	आपके दोस्त को तुरंत ₹%1$d साइन अप बोनस मिलता है
refer_reward_15	15 रेफरल: रु.150 पड़ाव बोनस
refer_reward_50	50 रेफरल: रु.500 पड़ाव बोनस
refer_reward_100	100 रेफरल: रु.1000 पड़ाव बोनस
refer_withdrawal_threshold_info	आपका उपलब्ध बैलेंस ₹%1$d पहुँचने पर आप पूरा बैलेंस निकाल सकते हैं।
refer_redeem_step_1	इस स्क्रीन पर निकालें बटन दबाएँ
refer_redeem_step_2	राशि और अपनी UPI ID दर्ज करें
refer_redeem_step_3	भुगतान समीक्षा के लिए अनुरोध भेजें
refer_redeem_step_4	अनुरोध के तुरंत बाद आपका रेफरल वॉलेट बैलेंस अपडेट हो जाता है
refer_min_withdrawal_info	न्यूनतम निकासी: ₹%1$d
refer_earn_more_to_withdraw	निकासी शुरू करने के लिए ₹%1$s और कमाएँ (न्यूनतम ₹%2$s)
refer_milestone_item	%1$d रेफरल: ₹%2$d पड़ाव बोनस
refer_complete_profile_to_withdraw	कमाई निकालने से पहले अपनी प्रोफ़ाइल पूरी करें
refer_withdraw_full_balance_note	आप अपना पूरा उपलब्ध बैलेंस निकालेंगे और वॉलेट रु.0 पर आ जाएगा।
withdrawal_history	निकासी इतिहास
who_referred_you	आपको किसने रेफर किया
referred_by_unknown	रेफरल स्रोत उपलब्ध नहीं
no_withdrawals_yet	अभी कोई निकासी नहीं
refer_milestone_earned	पड़ाव: रु.%1$s
refer_status_pending	लंबित
refer_status_expired	समाप्त
refer_status_cancelled	रद्द
refer_available_balance	उपलब्ध: रु.%1$d
refer_error_min_withdrawal	न्यूनतम निकासी रु.%1$d है
refer_error_insufficient_balance	अपर्याप्त बैलेंस
refer_error_enter_upi	UPI ID दर्ज करें
refer_error_invalid_upi	UPI ID का प्रारूप गलत है
refer_performer_from_city	%2$s से %1$s
refer_more_top_performers	+%1$d और शीर्ष प्रदर्शक
refer_legal_not_pyramid	\u2022 यह एक वैध रेफरल कार्यक्रम है, पिरामिड स्कीम नहीं
refer_legal_taxable	\u2022 भारतीय कर कानूनों के तहत रेफरल इनाम कर योग्य आय है
refer_legal_kyc	\u2022 \u20B910,000/वर्ष से अधिक निकासी के लिए KYC आवश्यक है
refer_legal_pan	\u2022 \u20B950,000/वर्ष से अधिक निकासी के लिए PAN कार्ड अनिवार्य है
refer_legal_fraud	\u2022 धोखाधड़ी करने पर खाता निलंबित कर दिया जाएगा
refer_employer_complete_profile_desc	अपना निजी रेफरल कोड बनाने और इनाम कमाना शुरू करने के लिए, कृपया पहले अपनी कंपनी प्रोफ़ाइल पूरी करें।
refer_employer_share_text	भर्ती के लिए DutyPe से जुड़ें!\n\nमेरा रेफरल कोड इस्तेमाल करें: %1$s\n\nDutyPe डाउनलोड करें: %2$s\n\nअपने व्यवसाय के लिए भरोसेमंद कर्मचारी पाएँ और रु.%3$d बोनस कमाएँ!
refer_employer_step_1	अपना रेफरल कोड नियोक्ताओं या कर्मचारियों के साथ शेयर करें
refer_employer_step_4	बोनस नकद और मुफ़्त जॉब पोस्ट के लिए पड़ाव पूरे करें
refer_reward_5_employer	5 रेफरल: रु.50 बोनस + 5 मुफ़्त जॉब पोस्ट
refer_reward_10_employer	10 रेफरल: रु.100 बोनस + 10 मुफ़्त जॉब पोस्ट
refer_reward_25_employer	25 रेफरल: रु.250 बोनस + 25 मुफ़्त जॉब पोस्ट
refer_signup_bonus_earned	साइन अप बोनस: रु.%1$s
refer_worker_complete_profile_desc	अपना निजी रेफरल कोड बनाने और इनाम कमाना शुरू करने के लिए, कृपया पहले अपनी प्रोफ़ाइल पूरी करें।
refer_worker_share_text	DutyPe से जुड़ें और कमाई शुरू करें!\n\nमेरा रेफरल कोड इस्तेमाल करें: %1$s\n\nडाउनलोड करें: %2$s\n\nअपने पास की नौकरियाँ पाएँ और रु.%3$d बोनस कमाएँ!
refer_worker_step_1	अपना रेफरल कोड दोस्तों के साथ शेयर करें
refer_worker_step_4	अतिरिक्त बोनस पाने के लिए पड़ाव पूरे करें
refer_reward_5_worker	5 रेफरल: रु.50 पड़ाव बोनस
refer_reward_10_worker	10 रेफरल: रु.100 पड़ाव बोनस
refer_reward_25_worker	25 रेफरल: रु.250 पड़ाव बोनस
refer_friend_bonus_earned	दोस्त बोनस: रु.%1$s
refer_share_friend_bonus	यह कोड शेयर करें \u2192 दोस्त को \u20B9%1$d बोनस मिलेगा!
refer_default_user_name	उपयोगकर्ता
recent_transactions	हाल के लेन-देन
total_earnings_label	कुल कमाई
pending_label	लंबित
weekly_earnings	साप्ताहिक कमाई
period_this_week	इस सप्ताह
period_this_month	इस महीने
period_last_month	पिछले महीने
period_3_months	3 महीने
period_all_time	अब तक
status_paid	भुगतान हो गया
status_failed	विफल
login_to_view_profile	अपनी प्रोफ़ाइल देखने और संपादित करने के लिए लॉगिन करें
login_to_view_applications	अपने नौकरी आवेदन देखने के लिए लॉगिन करें
login_to_view_earnings	अपनी कमाई देखने के लिए लॉगिन करें
login_to_refer_earn	दोस्तों को रेफर करने और इनाम कमाने के लिए लॉगिन करें
login_to_access_feature	इस सुविधा के लिए कृपया लॉगिन करें
contact_unlocked	संपर्क अनलॉक हो गया! ✅
payment_failed_error	भुगतान विफल: %1$s
unlock_contact	संपर्क अनलॉक करें
unlock_worker_contact_desc	सीधे संपर्क करने के लिए %1$s का संपर्क विवरण अनलॉक करें।
unlock_price	अनलॉक कीमत
benefit_phone_number	📞 तुरंत फ़ोन नंबर पाएँ
benefit_direct_communication	💬 सीधी बातचीत
benefit_faster_hiring	⚡ तेज़ भर्ती प्रक्रिया
pay_and_unlock	₹%1$d दें और अनलॉक करें
payment_details	भुगतान विवरण
history_no_work_history	अभी कोई कार्य इतिहास नहीं
history_complete_jobs_timeline	अपनी कार्य टाइमलाइन बनाने के लिए नौकरियाँ पूरी करें
history_no_completed_jobs	कोई पूरी की गई नौकरी नहीं
history_completed_appear_here	पूरी की गई नौकरियाँ यहाँ दिखेंगी
history_no_applications_yet	अभी कोई आवेदन नहीं
history_applications_appear_here	आपके नौकरी आवेदन यहाँ दिखेंगे
history_no_applications	कोई आवेदन नहीं
history_your_applications_here	आपके आवेदन यहाँ दिखेंगे
history_applied_time	%1$s आवेदन किया
history_failed_load_jobs	नौकरियाँ लोड नहीं हो सकीं
history_view_applications	आवेदन देखें
history_expired	समाप्त
history_expires_today	आज समाप्त हो रही है
history_1_day_left	1 दिन बाकी
history_days_left	%1$d दिन बाकी
history_no_job_posting	कोई जॉब पोस्टिंग इतिहास नहीं
history_start_posting_timeline	अपनी टाइमलाइन बनाने के लिए नौकरियाँ पोस्ट करना शुरू करें
history_no_active_jobs	कोई सक्रिय नौकरी नहीं
history_active_postings_here	आपकी सक्रिय जॉब पोस्टिंग यहाँ दिखेंगी
history_no_expired_jobs	कोई समाप्त नौकरी नहीं
history_expired_postings_here	समाप्त जॉब पोस्टिंग यहाँ दिखेंगी
history_no_jobs_posted	अभी कोई नौकरी पोस्ट नहीं की गई
history_start_posting_here	नौकरियाँ यहाँ देखने के लिए पोस्ट करना शुरू करें
history_no_jobs	कोई नौकरी नहीं
history_postings_appear_here	आपकी जॉब पोस्टिंग यहाँ दिखेंगी
history_posted_date	%1$s पोस्ट किया
notif_failed_load	सूचनाएँ लोड नहीं हो सकीं
notif_retry	फिर कोशिश करें
notif_no_notifications	अभी कोई सूचना नहीं
notif_worker_empty_desc	आपको यहाँ आवेदन अपडेट, इंटरव्यू शेड्यूल और नौकरी सुझाव दिखेंगे।
notif_preview_title	सूचनाओं की झलक
notif_worker_preview_desc	लॉगिन के बाद आपको ये अलर्ट मिलेंगे।
notif_worker_preview_1_title	🔥 पिछले एक घंटे में आपके क्षेत्र में 27 कर्मचारियों ने आवेदन किया
notif_worker_preview_1_desc	ये नौकरियाँ बंद होने से पहले तुरंत आवेदन अनलॉक करने के लिए लॉगिन करें।
notif_worker_preview_2_title	💡 आपकी प्रोफ़ाइल के शॉर्टलिस्ट होने की संभावना 3 गुना ज़्यादा है
notif_worker_preview_2_desc	अपनी प्रोफ़ाइल पूरी करें और बेहतर मैच पाना शुरू करें।
notif_worker_preview_3_title	⏳ जल्दी आवेदन करने पर जवाब भी जल्दी मिलता है
notif_worker_preview_3_desc	लॉगिन के बाद बेहतरीन नौकरियाँ खोलें और एक टैप में आवेदन करें।
notif_worker_login_toast	असली सूचनाएँ पाने और अपने आवेदनों पर नज़र रखने के लिए लॉगिन या रजिस्टर करें।
notif_delete	हटाएँ
notif_swipe_to_delete	← हटाने के लिए स्वाइप करें
notif_employer_empty_desc	आपको यहाँ नौकरी आवेदन, नौकरी की स्थिति और अन्य ज़रूरी अपडेट दिखेंगे।
notif_employer_preview_desc	लाइव भर्ती अलर्ट पाने के लिए साइन इन करें।
notif_employer_preview_1_title	📥 आज 5 नए उम्मीदवारों ने आपकी नौकरी देखी
notif_employer_preview_1_desc	कहीं और चुने जाने से पहले उनकी प्रोफ़ाइल देखें।
notif_employer_preview_2_title	⚡ जल्दी जवाब देने वाले 2 गुना तेज़ी से भर्ती करते हैं
notif_employer_preview_2_desc	आवेदन खोलें और घंटों में नहीं, मिनटों में जवाब दें।
notif_employer_preview_3_title	🎯 एक छोटा बदलाव बेहतर आवेदन ला सकता है
notif_employer_preview_3_desc	अपनी पोस्ट अपडेट करें और ज़्यादा उपयुक्त कर्मचारी पाएँ।
notif_employer_login_toast	सूचनाएँ देखने के लिए साइन इन करें
notif_not_found	सूचना नहीं मिली
notif_action_view_applications	मेरे आवेदन देखें
notif_action_view_job_details	नौकरी का विवरण देखें
notif_action_browse_jobs	नौकरियाँ देखें
notif_type_application_update	आवेदन अपडेट
notif_type_shortlisted	शॉर्टलिस्ट हुआ
notif_type_interview	इंटरव्यू
notif_type_message	संदेश
notif_type_recommended	सुझाई गई
notif_type_job_posted	नौकरी पोस्ट हुई
notif_type_job_update	नौकरी अपडेट
notif_type_system	सिस्टम
notif_type_notification	सूचना
post_job_success	नौकरी सफलतापूर्वक पोस्ट हो गई!
post_job_error	नौकरी पोस्ट करने में त्रुटि: %1$s
post_job_checklist_title_desc	स्पष्ट पद नाम और विवरण जोड़ें
post_job_checklist_pay_location	वेतन और कार्य स्थान तय करें
post_job_checklist_contact	संपर्क विवरण जोड़ें
post_job_checklist_pin_location	नौकरी का सटीक स्थान पिन करें
post_job_location_mismatch_title	स्थान में अंतर मिला
post_job_location_mismatch_desc	आपका मौजूदा स्थान नौकरी के स्थान से %1$s किमी दूर है।
post_job_location_mismatch_info	🛡️ यह जाँच दूर बैठे धोखाधड़ी केंद्रों को नकली स्थानीय नौकरियाँ पोस्ट करने से रोकती है।
post_job_location_confirm	क्या आप वाकई यह नौकरी पोस्ट करना चाहते हैं?
post_job_blocked_title	जॉब पोस्टिंग रोकी गई
post_job_blocked_info	🛡️ DutyPe केवल स्थानीय, आमने-सामने वाली नौकरियों के लिए है।
post_job_blocked_desc	कर्मचारियों को धोखाधड़ी से बचाने के लिए वर्क-फ्रॉम-होम, ऑनलाइन और डेटा एंट्री नौकरियाँ मान्य नहीं हैं।
post_job_pay_too_low	वेतन दर बहुत कम
post_job_pay_too_high	वेतन दर बहुत ज़्यादा
post_job_market_rate	📊 %1$s के लिए बाज़ार दर:
post_job_skeptical_pay	आप यह नौकरी फिर भी पोस्ट कर सकते हैं, पर %1$s वेतन दर पर कर्मचारियों को संदेह हो सकता है।
post_job_complete_profile_title	अपनी प्रोफ़ाइल पूरी करें
post_job_complete_profile_desc	नौकरी पोस्ट करने से पहले आपको अपनी प्रोफ़ाइल पूरी करनी होगी।
post_job_profile_progress	प्रोफ़ाइल: %1$d%% पूरी (80%% चाहिए)
post_job_missing_fields	बाकी: %1$s
post_job_image_uploaded	तस्वीर सफलतापूर्वक अपलोड हो गई!
post_job_image_upload_failed	तस्वीर अपलोड नहीं हो सकी: %1$s
post_job_schedule_urgency	कार्य समय और तात्कालिकता
post_job_worker_preview	कर्मचारी को दिखने वाली झलक
