auto_made_with	తయారీ 
auto_your_upi_reference_has_been_submitted_admi	మీ UPI రిఫరెన్స్ సమర్పించబడింది. అడ్మిన్ దీన్ని బ్యాంకుతో ధృవీకరించి 5-10 నిమిషాల్లో మీ ప్లాన్‌ను యాక్టివేట్ చేస్తారు.
auto_app_version_1_0_5	యాప్ వెర్షన్ 1.0.5
auto_you_ve_used_all_your_job_posts_get_a_subsc	మీ ఉద్యోగ పోస్ట్‌లన్నీ వాడేశారు. మరిన్ని ఉద్యోగాలు పోస్ట్ చేసి ఉత్తమ అభ్యర్థులను వెంటనే కనుగొనడానికి సబ్‌స్క్రిప్షన్ తీసుకోండి.
auto_this_job_was_filled_your_application_is_st	ఈ ఉద్యోగం భర్తీ అయింది. మీ దరఖాస్తు ఇక్కడే భద్రంగా ఉంది.
auto_call_employer_to_confirm_availability_and	అందుబాటు, తదుపరి దశలను నిర్ధారించుకోవడానికి యజమానికి కాల్ చేయండి.
auto_employer_not_responding_try_one_call_then	యజమాని స్పందించడం లేదా? ఒకసారి కాల్ చేసి చూడండి, ఆ తర్వాత ఇలాంటి యాక్టివ్ ఉద్యోగాలకు దరఖాస్తు చేస్తూ ఉండండి.
auto_active	యాక్టివ్: 
auto_search_any_area_city_or_locality_to_see_th	అక్కడి సమీప ఉద్యోగాలు చూడటానికి ఏదైనా ప్రాంతం, నగరం లేదా లోకాలిటీని వెతకండి.
auto_we_checked_10km_and_15km_around_your_locat	మీ ప్రాంతం చుట్టూ 10కి.మీ, 15కి.మీ పరిధిలో చూశాం. మరిన్ని ఉద్యోగాల కోసం వేరే ప్రాంతాన్ని ప్రయత్నించండి.
auto_by_submitting_you_agree_to_share_your_prof	సమర్పించడం ద్వారా, మీ ప్రొఫైల్ సమాచారాన్ని యజమానితో పంచుకోవడానికి మీరు అంగీకరిస్తున్నారు.
auto_we_re_making_dutype_even_better_for_you_pl	మీ కోసం DutyPeని మరింత మెరుగ్గా తీర్చిదిద్దుతున్నాం. దయచేసి కొన్ని నిమిషాల్లో మళ్లీ చూడండి.
auto_a_new_version_of_dutype_is_available_with	ముఖ్యమైన అప్‌డేట్‌లతో DutyPe కొత్త వెర్షన్ అందుబాటులో ఉంది. కొనసాగించడానికి దయచేసి అప్‌డేట్ చేయండి.
auto_dutype_is_india_s_premier_instant_workforc	స్థానిక వ్యాపారాలు, గృహాలను (యజమానులు) ధృవీకరించిన దినసరి కూలీలు, నైపుణ్యం గల నిపుణులతో (కార్మికులు) నేరుగా కలిపే భారతదేశపు అగ్రగామి తక్షణ వర్క్‌ఫోర్స్ ప్లాట్‌ఫామ్ DutyPe. మేము మధ్యవర్తుల కమీషన్లను తొలగించి, ఫోన్ ఆధారిత నేరుగా నియామకాన్ని అందించి, పారదర్శకమైన, న్యాయమైన, తక్షణ ఉపాధి అవకాశాల కోసం GPS లొకేషన్ ఆవిష్కరణను అందిస్తాం.
refer_earn_more_to_withdraw	విత్‌డ్రా అన్‌లాక్ చేయడానికి మరో ₹%1$s సంపాదించండి (కనీసం ₹%2$s)
days_ago	%d రోజుల క్రితం
hours_ago	%d గంటల క్రితం
minutes_ago	%d నిమిషాల క్రితం
weeks_ago	%d వారాల క్రితం
months_ago	%d నెలల క్రితం
your_profile_is_complete	మీ ప్రొఫైల్ పూర్తయింది!
refer_min_withdrawal_info	కనీస ఉపసంహరణ: ₹%1$d
refer_reward_friend_bonus	మీ స్నేహితుడికి వెంటనే ₹%1$d సైన్ అప్ బోనస్ వస్తుంది
refer_reward_per_referral	ప్రతి విజయవంతమైన రెఫరల్‌కు మీరు ₹%1$d సంపాదిస్తారు
refer_withdrawal_threshold_info	మీ అందుబాటు బ్యాలెన్స్ ₹%1$dకు చేరిన తర్వాత పూర్తి బ్యాలెన్స్‌ను విత్‌డ్రా చేసుకోవచ్చు.
